Torneo,Equipo_Local,Resultado,Equipo_Visitante,Ganador
Mundial 2022,Catar,0:2  (0:2),Ecuador,Ecuador
Mundial 2022,Senegal,0:2  (0:0),Países Bajos,Países Bajos
Mundial 2022,Catar,1:3  (0:1),Senegal,Senegal
Mundial 2022,Países Bajos,1:1  (1:0),Ecuador,Empate
Mundial 2022,Ecuador,1:2  (0:1),Senegal,Senegal
Mundial 2022,Países Bajos,2:0  (1:0),Catar,Países Bajos
Mundial 2022,Inglaterra,6:2  (3:0),Irán,Inglaterra
Mundial 2022,Estados Unidos,1:1  (1:0),Gales,Empate
Mundial 2022,Gales,0:2  (0:0),Irán,Irán
Mundial 2022,Inglaterra,0:0,Estados Unidos,Empate
Mundial 2022,Gales,0:3  (0:0),Inglaterra,Inglaterra
Mundial 2022,Irán,0:1  (0:1),Estados Unidos,Estados Unidos
Mundial 2022,Argentina,1:2  (1:0),Arabia Saudita,Arabia Saudita
Mundial 2022,México,0:0,Polonia,Empate
Mundial 2022,Polonia,2:0  (1:0),Arabia Saudita,Polonia
Mundial 2022,Argentina,2:0  (0:0),México,Argentina
Mundial 2022,Polonia,0:2  (0:0),Argentina,Argentina
Mundial 2022,Arabia Saudita,1:2  (0:0),México,México
Mundial 2022,Dinamarca,0:0,Túnez,Empate
Mundial 2022,Francia,4:1  (2:1),Australia,Francia
Mundial 2022,Túnez,0:1  (0:1),Australia,Australia
Mundial 2022,Francia,2:1  (0:0),Dinamarca,Francia
Mundial 2022,Australia,1:0  (0:0),Dinamarca,Australia
Mundial 2022,Túnez,1:0  (0:0),Francia,Túnez
Mundial 2022,Alemania,1:2  (1:0),Japón,Japón
Mundial 2022,España,7:0  (3:0),Costa Rica,España
Mundial 2022,Japón,0:1  (0:0),Costa Rica,Costa Rica
Mundial 2022,España,1:1  (0:0),Alemania,Empate
Mundial 2022,Japón,2:1  (0:1),España,Japón
Mundial 2022,Costa Rica,2:4  (0:1),Alemania,Alemania
Mundial 2022,Marruecos,0:0,Croacia,Empate
Mundial 2022,Bélgica,1:0  (1:0),Canadá,Bélgica
Mundial 2022,Bélgica,0:2  (0:0),Marruecos,Marruecos
Mundial 2022,Croacia,4:1  (2:1),Canadá,Croacia
Mundial 2022,Croacia,0:0,Bélgica,Empate
Mundial 2022,Canadá,1:2  (1:2),Marruecos,Marruecos
Mundial 2022,Suiza,1:0  (0:0),Camerún,Suiza
Mundial 2022,Brasil,2:0  (0:0),Serbia,Brasil
Mundial 2022,Camerún,3:3  (1:2),Serbia,Empate
Mundial 2022,Brasil,1:0  (0:0),Suiza,Brasil
Mundial 2022,Serbia,2:3  (2:2),Suiza,Suiza
Mundial 2022,Camerún,1:0  (0:0),Brasil,Camerún
Mundial 2022,Uruguay,0:0,Corea del Sur,Empate
Mundial 2022,Portugal,3:2  (0:0),Ghana,Portugal
Mundial 2022,Corea del Sur,2:3  (0:2),Ghana,Ghana
Mundial 2022,Portugal,2:0  (0:0),Uruguay,Portugal
Mundial 2022,Ghana,0:2  (0:2),Uruguay,Uruguay
Mundial 2022,Corea del Sur,2:1  (1:1),Portugal,Corea del Sur
Mundial 2022,Países Bajos,3:1  (2:0),Estados Unidos,Países Bajos
Mundial 2022,Argentina,2:1  (1:0),Australia,Argentina
Mundial 2022,Francia,3:1  (1:0),Polonia,Francia
Mundial 2022,Inglaterra,3:0  (2:0),Senegal,Inglaterra
Mundial 2022,Japón,"1:1  (1:1, 1:0)   ( t.   s. ) (1:3  p. )",Croacia,Croacia
Mundial 2022,Brasil,4:1  (4:0),Corea del Sur,Brasil
Mundial 2022,Marruecos,0:0   ( t.   s. ) (3:0  p. ),España,Marruecos
Mundial 2022,Portugal,6:1  (2:0),Suiza,Portugal
Mundial 2022,Croacia,"1:1  (0:0, 0:0)   ( t.   s. ) (4:2  p. )",Brasil,Croacia
Mundial 2022,Países Bajos,"2:2  (2:2, 0:1)   ( t.   s. ) (3:4  p. )",Argentina,Argentina
Mundial 2022,Marruecos,1:0  (1:0),Portugal,Marruecos
Mundial 2022,Inglaterra,1:2  (0:1),Francia,Francia
Mundial 2022,Argentina,3:0  (2:0),Croacia,Argentina
Mundial 2022,Francia,2:0  (1:0),Marruecos,Francia
Mundial 2022,Croacia,2:1  (2:1),Marruecos,Croacia
Mundial 2022,Argentina,"3:3  (2:2, 2:0)   ( t.   s. ) (4:2  p. )",Francia,Argentina
Mundial 2022,Portugal   POR,6 -1,SUI   Suiza,Portugal   POR
Mundial 2022,Argentina   ARG,3- 3  (4-2),FRA   Francia,Empate
Mundial 2022,Enner Valencia,0:2,Rouzbeh Cheshmi,Rouzbeh Cheshmi
Mundial 2022,Bukayo Saka,6:2,Boulaye Dia,Bukayo Saka
Mundial 2022,Cody Gakpo,0:2,Frenkie de Jong,Frenkie de Jong
Mundial 2022,Gareth Bale,1:1,Christian Pulisic,Empate
Mundial 2022,Mohammed Al-Owais,1:2,Mitchell Duke,Mitchell Duke
Mundial 2022,Aïssa Laïdouni,0:0,Robert Lewandowski,Empate
Mundial 2022,Guillermo Ochoa,0:0,Kylian Mbappé,Empate
Mundial 2022,Kylian Mbappé,4:1,Lionel Messi,Kylian Mbappé
Mundial 2022,Luka Modrić,0:0,Keysher Fuller,Empate
Mundial 2022,Shūichi Gonda,1:2,Hakim Ziyech,Hakim Ziyech
Mundial 2022,Gavi,7:0,Andrej Kramarić,Gavi
Mundial 2022,Kevin De Bruyne,1:0,Álvaro Morata,Kevin De Bruyne
Mundial 2022,Yann Sommer,1:0,Vincent Aboubakar,Yann Sommer
Mundial 2022,Federico Valverde,0:0,Mohammed Kudus,Empate
Mundial 2022,Cristiano Ronaldo,3:2,Casemiro,Cristiano Ronaldo
Mundial 2022,Richarlison,2:0,Bruno Fernandes,Richarlison
Copa América 2024,Argentina,2:0  (0:0),Canadá,Argentina
Copa América 2024,Perú,0:0,Chile,Empate
Copa América 2024,Perú,0:1  (0:0),Canadá,Canadá
Copa América 2024,Chile,0:1  (0:0),Argentina,Argentina
Copa América 2024,Argentina,2:0  (0:0),Perú,Argentina
Copa América 2024,Canadá,0:0,Chile,Empate
Copa América 2024,Ecuador,1:2  (1:0),Venezuela,Venezuela
Copa América 2024,México,1:0  (0:0),Jamaica,México
Copa América 2024,Ecuador,3:1  (2:0),Jamaica,Ecuador
Copa América 2024,Venezuela,1:0  (0:0),México,Venezuela
Copa América 2024,México,0:0,Ecuador,Empate
Copa América 2024,Jamaica,0:3  (0:0),Venezuela,Venezuela
Copa América 2024,Estados Unidos,2:0  (2:0),Bolivia,Estados Unidos
Copa América 2024,Uruguay,3:1  (1:0),Panamá,Uruguay
Copa América 2024,Panamá,2:1  (1:1),Estados Unidos,Panamá
Copa América 2024,Uruguay,5:0  (2:0),Bolivia,Uruguay
Copa América 2024,Estados Unidos,0:1  (0:0),Uruguay,Uruguay
Copa América 2024,Bolivia,1:3  (0:1),Panamá,Panamá
Copa América 2024,Colombia,2:1  (2:0),Paraguay,Colombia
Copa América 2024,Brasil,0:0,Costa Rica,Empate
Copa América 2024,Colombia,3:0  (1:0),Costa Rica,Colombia
Copa América 2024,Paraguay,1:4  (0:3),Brasil,Brasil
Copa América 2024,Brasil,1:1  (1:1),Colombia,Empate
Copa América 2024,Costa Rica,2:1  (2:0),Paraguay,Costa Rica
Copa América 2024,Argentina,1:1  (1:0)   (4:2  p. ),Ecuador,Argentina
Copa América 2024,Venezuela,1:1  (0:1)   (3:4  p. ),Canadá,Canadá
Copa América 2024,Colombia,5:0  (3:0),Panamá,Colombia
Copa América 2024,Uruguay,0:0   (4:2  p. ),Brasil,Uruguay
Copa América 2024,Argentina,2:0  (1:0),Canadá,Argentina
Copa América 2024,Uruguay,0:1  (0:1),Colombia,Colombia
Copa América 2024,Canadá,2:2  (1:1)   (3:4  p. ),Uruguay,Uruguay
Copa América 2024,Argentina,1:0  (0:0; 0:0)   ( t.   s. ),Colombia,Argentina
Copa América 2024,Julián Álvarez,2:0,Jonathan David,Julián Álvarez
Copa América 2024,Alexis Sánchez,0:0,Claudio Bravo,Empate
Copa América 2024,Salomón Rondón,1:2,Moisés Caicedo,Moisés Caicedo
Copa América 2024,Gerardo Arteaga,1:0,Salomón Rondón,Gerardo Arteaga
Copa América 2024,Christian Pulisic,2:0,Folarin Balogun,Christian Pulisic
Copa América 2024,Maximiliano Araújo,3:1,Maximiliano Araújo,Maximiliano Araújo
Copa América 2024,James Rodríguez,2:1,Luis Díaz,James Rodríguez
Copa América 2024,Patrick Sequeira,0:0,Vinícius Júnior,Empate
Eurocopa 2024,Alemania   GER,5:1  (3:0),SCO   Escocia,Alemania   GER
Eurocopa 2024,Hungría   HUN,1:3  (0:2),SUI   Suiza,SUI   Suiza
Eurocopa 2024,Alemania   GER,2:0  (1:0),HUN   Hungría,Alemania   GER
Eurocopa 2024,Escocia   SCO,1:1  (1:1),SUI   Suiza,Empate
Eurocopa 2024,Suiza   SUI,1:1  (1:0),GER   Alemania,Empate
Eurocopa 2024,Escocia   SCO,0:1  (0:0),HUN   Hungría,HUN   Hungría
Eurocopa 2024,España   ESP,3:0  (3:0),CRO   Croacia,España   ESP
Eurocopa 2024,Italia   ITA,2:1  (2:1),ALB   Albania,Italia   ITA
Eurocopa 2024,Croacia   CRO,2:2  (0:1),ALB   Albania,Empate
Eurocopa 2024,España   ESP,1:0  (0:0),ITA   Italia,España   ESP
Eurocopa 2024,Albania   ALB,0:1  (0:1),ESP   España,ESP   España
Eurocopa 2024,Croacia   CRO,1:1  (0:0),ITA   Italia,Empate
Eurocopa 2024,Eslovenia   SVN,1:1  (0:1),DEN   Dinamarca,Empate
Eurocopa 2024,Serbia   SRB,0:1  (0:1),ENG   Inglaterra,ENG   Inglaterra
Eurocopa 2024,Eslovenia   SVN,1:1  (0:0),SRB   Serbia,Empate
Eurocopa 2024,Dinamarca   DEN,1:1  (1:1),ENG   Inglaterra,Empate
Eurocopa 2024,Inglaterra   ENG,0:0,SVN   Eslovenia,Empate
Eurocopa 2024,Dinamarca   DEN,0:0,SRB   Serbia,Empate
Eurocopa 2024,Polonia   POL,1:2  (1:1),NED   Países Bajos,NED   Países Bajos
Eurocopa 2024,Austria   AUT,0:1  (0:1),FRA   Francia,FRA   Francia
Eurocopa 2024,Polonia   POL,1:3  (1:1),AUT   Austria,AUT   Austria
Eurocopa 2024,Países Bajos   NED,0:0,FRA   Francia,Empate
Eurocopa 2024,Países Bajos   NED,2:3  (0:1),AUT   Austria,AUT   Austria
Eurocopa 2024,Francia   FRA,1:1  (0:0),POL   Polonia,Empate
Eurocopa 2024,Rumania   ROU,3:0  (1:0),UKR   Ucrania,Rumania   ROU
Eurocopa 2024,Bélgica   BEL,0:1  (0:1),SVK   Eslovaquia,SVK   Eslovaquia
Eurocopa 2024,Eslovaquia   SVK,1:2  (1:0),UKR   Ucrania,UKR   Ucrania
Eurocopa 2024,Bélgica   BEL,2:0  (1:0),ROU   Rumania,Bélgica   BEL
Eurocopa 2024,Eslovaquia   SVK,1:1  (1:1),ROU   Rumania,Empate
Eurocopa 2024,Ucrania   UKR,0:0,BEL   Bélgica,Empate
Eurocopa 2024,Turquía   TUR,3:1  (1:1),GEO   Georgia,Turquía   TUR
Eurocopa 2024,Portugal   POR,2:1  (0:0),CZE   República Checa,Portugal   POR
Eurocopa 2024,Georgia   GEO,1:1  (1:0),CZE   República Checa,Empate
Eurocopa 2024,Turquía   TUR,0:3  (0:2),POR   Portugal,POR   Portugal
Eurocopa 2024,Georgia   GEO,2:0  (1:0),POR   Portugal,Georgia   GEO
Eurocopa 2024,República Checa   CZE,1:2  (0:0),TUR   Turquía,TUR   Turquía
Eurocopa 2024,Suiza   SUI,2:0  (1:0),ITA   Italia,Suiza   SUI
Eurocopa 2024,Alemania   GER,2:0  (0:0),DEN   Dinamarca,Alemania   GER
