velocidad_bala,distancia,salto,movimiento,dist_bala2_y,dist_bala2_x
-7.0,875.0,0,0,507.0,27.0
-7.0,868.0,0,0,507.0,27.0
-7.0,861.0,0,0,507.0,27.0
-7.0,854.0,0,0,507.0,27.0
-7.0,847.0,0,0,507.0,27.0
-7.0,840.0,0,0,507.0,27.0
-7.0,833.0,0,0,507.0,27.0
-7.0,826.0,0,0,507.0,27.0
-7.0,819.0,0,0,507.0,27.0
-7.0,812.0,0,0,507.0,27.0
-7.0,805.0,0,0,507.0,27.0
-7.0,798.0,0,0,507.0,27.0
-7.0,791.0,0,0,507.0,27.0
-7.0,784.0,0,0,507.0,27.0
-7.0,777.0,0,0,507.0,27.0
-7.0,770.0,0,0,507.0,27.0
-7.0,763.0,0,0,507.0,27.0
-7.0,756.0,0,0,507.0,27.0
-7.0,749.0,0,0,507.0,27.0
-7.0,742.0,0,0,507.0,27.0
-7.0,735.0,0,0,507.0,27.0
-7.0,728.0,0,0,507.0,27.0
-7.0,721.0,0,0,507.0,27.0
-7.0,714.0,0,0,507.0,27.0
-7.0,707.0,0,0,507.0,27.0
-7.0,700.0,0,0,507.0,27.0
-7.0,693.0,0,0,507.0,27.0
-7.0,686.0,0,0,507.0,27.0
-7.0,679.0,0,0,507.0,27.0
-7.0,672.0,0,0,507.0,27.0
-7.0,665.0,0,0,507.0,27.0
-7.0,658.0,1,0,507.0,27.0
-7.0,651.0,1,0,491.0,27.0
-7.0,644.0,1,0,476.0,27.0
-7.0,637.0,1,0,462.0,27.0
-7.0,630.0,1,0,449.0,27.0
-7.0,623.0,1,0,437.0,27.0
-7.0,616.0,1,0,426.0,27.0
-7.0,609.0,1,0,417.0,27.0
-7.0,602.0,1,0,409.0,27.0
-7.0,595.0,1,0,402.0,27.0
-7.0,588.0,1,0,396.0,27.0
-7.0,581.0,1,0,391.0,27.0
-7.0,574.0,1,0,387.0,27.0
-7.0,567.0,1,0,384.0,27.0
-7.0,560.0,1,0,382.0,27.0
-7.0,553.0,1,0,381.0,27.0
-7.0,546.0,1,0,381.0,27.0
-7.0,539.0,1,0,382.0,27.0
-7.0,532.0,1,0,384.0,27.0
-7.0,525.0,1,0,387.0,27.0
-7.0,518.0,1,0,391.0,27.0
-7.0,511.0,1,0,396.0,27.0
-7.0,504.0,1,0,402.0,27.0
-7.0,497.0,1,0,409.0,27.0
-7.0,490.0,1,0,417.0,27.0
-7.0,483.0,1,0,426.0,27.0
-7.0,476.0,1,0,436.0,27.0
-7.0,469.0,1,0,448.0,27.0
-7.0,462.0,1,0,461.0,27.0
-7.0,455.0,1,0,475.0,27.0
-7.0,448.0,1,0,490.0,27.0
-7.0,441.0,1,0,506.0,27.0
-7.0,434.0,0,0,507.0,27.0
-7.0,427.0,0,0,507.0,27.0
-7.0,420.0,0,0,507.0,27.0
-7.0,413.0,0,0,507.0,27.0
-7.0,406.0,0,0,507.0,27.0
-7.0,399.0,0,0,507.0,27.0
-7.0,392.0,0,0,507.0,27.0
-7.0,385.0,0,0,507.0,27.0
-7.0,378.0,0,0,507.0,27.0
-7.0,371.0,0,0,507.0,27.0
-7.0,364.0,0,0,507.0,27.0
-7.0,357.0,0,0,507.0,27.0
-7.0,350.0,0,0,507.0,27.0
-7.0,343.0,0,0,507.0,27.0
-7.0,336.0,0,0,507.0,27.0
-7.0,329.0,0,0,507.0,27.0
-7.0,322.0,0,0,507.0,27.0
-7.0,315.0,0,0,507.0,27.0
-7.0,308.0,0,0,507.0,27.0
-7.0,301.0,0,0,507.0,27.0
-7.0,294.0,0,0,507.0,27.0
-7.0,287.0,0,0,507.0,27.0
-7.0,280.0,0,0,507.0,27.0
-7.0,273.0,0,0,507.0,27.0
-7.0,266.0,0,0,507.0,27.0
-7.0,259.0,0,0,507.0,27.0
-7.0,252.0,0,0,507.0,27.0
-7.0,245.0,0,0,507.0,27.0
-7.0,238.0,0,0,507.0,27.0
-7.0,231.0,0,0,507.0,27.0
-7.0,224.0,0,0,507.0,27.0
-7.0,217.0,0,0,507.0,27.0
-7.0,210.0,0,0,507.0,27.0
-7.0,203.0,0,0,507.0,27.0
-7.0,196.0,0,0,507.0,27.0
-7.0,189.0,0,0,507.0,27.0
-7.0,182.0,0,0,507.0,27.0
-7.0,175.0,0,0,507.0,27.0
-7.0,168.0,0,0,507.0,27.0
-7.0,161.0,0,0,507.0,27.0
-7.0,154.0,0,0,507.0,27.0
-7.0,147.0,0,0,507.0,27.0
-7.0,140.0,1,0,507.0,27.0
-7.0,133.0,1,0,491.0,27.0
-7.0,126.0,1,0,476.0,27.0
-7.0,119.0,1,0,462.0,27.0
-7.0,112.0,1,0,449.0,27.0
